ingreso_mensual,historial_crediticio,monto_prestamo,edad,empleo_estable,ratio_deuda_ingreso,capacidad_pago,score_riesgo_edad,moroso
3568.42,724,44715.32,70,0,1.0442,1332.65,1,1
2913.07,516,15933.47,30,1,0.4558,2116.4,0,0
5818.64,730,11886.52,38,1,0.1702,5224.32,0,0
3337.18,845,43915.58,18,1,1.0966,1141.4,1,0
3273.89,524,12917.92,37,1,0.3288,2627.99,0,0
1784.42,470,33900.41,31,1,1.5832,89.4,0,1
3172.09,447,5536.58,65,1,0.1455,2895.27,0,1
7389.34,499,4846.77,50,1,0.0547,7147.0,0,1
4130.49,459,14179.41,63,0,0.2861,3421.52,0,1
4980.05,654,13675.53,32,0,0.2288,4296.28,0,0
3933.18,698,23265.51,47,0,0.4929,2769.9,0,0
4784.76,713,43016.8,41,1,0.7492,2633.92,0,0
4161.91,325,27590.06,41,1,0.5524,2782.41,0,1
4828.15,444,8237.87,59,1,0.1422,4416.26,0,1
7030.85,344,32670.6,53,1,0.3872,5397.32,0,1
4774.89,336,40041.58,50,1,0.6988,2772.81,0,1
5491.19,389,23270.29,39,1,0.3531,4327.67,0,1
2846.31,638,43286.7,64,1,1.2673,681.98,0,0
4261.65,551,8676.18,60,0,0.1697,3827.84,0,0
1350.67,804,32171.42,39,0,1.9849,-257.91,0,1
4650.84,373,26298.28,31,0,0.4712,3335.93,0,1
3481.31,686,37191.78,40,1,0.8903,1621.72,0,0
2719.42,432,4087.94,25,1,0.1253,2515.02,0,1
4692.82,492,31860.11,21,1,0.5658,3099.81,1,1
4082.29,826,23300.37,40,0,0.4756,2917.27,0,0
2474.75,722,5129.56,55,0,0.1727,2218.27,0,0
4906.99,461,25966.4,26,1,0.441,3608.67,0,1
2529.25,506,39945.12,50,1,1.3161,532.0,0,0
3918.96,390,22522.93,19,0,0.4789,2792.82,1,1
3648.85,798,15904.7,21,0,0.3632,2853.62,1,0
4510.82,770,13174.02,48,1,0.2434,3852.12,0,0
3637.28,798,36284.3,35,0,0.8313,1823.07,0,1
2049.08,672,29677.42,59,1,1.2069,565.21,0,0
